Node,Label,Inlier-Outlier Propagation Score,Local reaching centrality,Betweenness centrality,Degree,In degree nodes,Out degree nodes,In Weight,Out Weight,Diff,To Inliers,To Outliers,In Out,To Inliers Weight,To Outliers Weight
579184915384053252333364217236378176158944003116,cwr_flag_number >,-3.86096256684492,4.162786498394104,0.1552852852852853,12,6,6,141.62163814180929,806.5617359413203,-664.940097799511,72.7041564792176,619.5,-546.7958435207825,0.5133689839572193,4.37433155080214
940331364486966071141541838460909450599289486914,rst_count >,-0.879476514429445,14.361597434426251,0.18776276276276274,93,46,47,92435.50916870416,112365.53606356969,-19930.02689486553,685.640586797066,81980.5,-81294.85941320294,0.007417502137038,0.886894016566483
337274849629170698169636561573185333120886675912,ece_flag_number >,-0.8229384679782337,4.201424025144731,0.08924924924924926,21,13,8,603.091075794621,1119.088630806846,-515.9975550122249,123.19315403422983,619.5,-496.30684596577015,0.2042695688572624,1.027208036835496
791432257472445298809701838101022411569407290467,rst_flag_number >,-0.5121741359905092,7.949891566732338,0.3347447447447447,98,49,49,58092.38814180929,62567.22799511003,-4474.839853300735,911.8312958435208,30665.25,-29753.41870415648,0.0156962267348632,0.5278703627253725
795584812918386367255521286735341258439959854242,syn_count >,-0.278861897895843,7.4381709013237,0.017132132132132133,136,68,68,82638.3716381418,103768.77444987776,-21130.40281173594,3593.80684596577,26638.5,-23044.69315403423,0.0434883550428896,0.3223502529387326
559797210707093786647851972932919518973015855277,fin_count >,-0.2786440457310578,7.444712968737282,0.016606606606606605,127,63,64,85320.34718826406,91287.38936430318,-5967.042176039118,2967.743276283619,26741.75,-23774.006723716386,0.0347835349255568,0.3134275806566147
1251276136943778783713685275011300537715092657394,fin_flag_number >,-0.2171691260301638,5.9669590008502915,0.011246246246246245,126,63,63,61998.46943765281,63400.80134474328,-1402.3319070904618,2126.596577017115,15590.75,-13464.153422982885,0.0343007915567282,0.2514699175868921
426624906449189252299067265451872698344494536313,Number >,-0.216973642426167,5.450548759202034,0.16981981981981986,70,34,36,54056.55012224939,62169.122249388754,-8112.572127139363,764.4034229828851,12493.25,-11728.846577017115,0.0141408103412848,0.2311144527674518
371266811264664269299964157380215767396824640058,ICMP >,-0.1603381430113113,4.858990742503508,0.16762762762762765,126,63,63,25263.68459657702,26248.724938875304,-985.0403422982854,1937.7677261613687,5988.5,-4050.732273838631,0.0767017067029057,0.2370398497142171
335418722972519651500040442315750311827115323662,Rate >,-0.1460465733598359,4.53307122699217,0.17573573573573575,143,71,72,79885.45904645477,84165.41136919316,-4279.952322738391,7744.002444987776,19411.0,-11666.997555012224,0.0969388238788802,0.2429853972387161
