classe,predicado,lrc,cobertura,seletividade,lift
Spoofing,SSH <= 0.15,1.5102443246598707,1.0,0.9964,1.004
Spoofing,HTTPS > 0.18,1.5559983696321666,0.6881,0.3681,1.869
Spoofing,Tot sum > 1193.5,1.6605978008629754,0.7357,0.8108,0.907
Spoofing,Min > 49.5,1.808727431620193,0.9035,0.9997,0.904
Spoofing,Tot sum > 1190.5,0.006035924329890352,0.7371,0.8114,0.908
Spoofing,Variance <= 977732.75,1.1719202051212099,0.949,0.9373,1.012
Spoofing,psh_flag_number > 0.02,1.2097434175406185,0.5587,0.3846,1.453
Spoofing,Number > 5.5,1.3121556028467445,0.9993,1.0,0.999
Spoofing,Time_To_Live <= 78.5,1.3629990702841526,0.4727,0.6957,0.68
Spoofing,AVG > 60.08,1.4434578405309166,0.9881,0.7184,1.375
Spoofing,Rate <= 394.89,2.4498915443925204,0.4238,0.3288,1.289
Spoofing,Rate <= 191049.28,2.5633645045307327,0.9252,0.9937,0.931
Spoofing,rst_flag_number <= 0.09,1.9851344856718358,0.9797,0.9066,1.081
Spoofing,cwr_flag_number <= 0.0,1.6255303820157787,0.9951,0.9989,0.996
Spoofing,Tot sum > 977.5,1.6721845230185923,0.7965,0.869,0.917
Spoofing,Tot size <= 1526.4,1.500251528948336,0.9657,0.968,0.998
Spoofing,AVG <= 1564.55,1.6418282994512627,0.9664,0.9708,0.995
Spoofing,syn_flag_number <= 0.31,1.4976220567255765,1.0,0.8702,1.149
Spoofing,ack_flag_number > 0.98,2.389842533089545,0.4385,0.1556,2.819
Spoofing,Tot size > 58.05,2.544650032875022,0.9916,1.0,0.992
Spoofing,Header_Length <= 49.4,0.0010448697064264197,0.9692,0.9993,0.97
Spoofing,Tot size > 549.4,1.326159792923716,0.414,0.3135,1.321
Spoofing,Max <= 3153.0,1.3579521326577093,0.972,0.9581,1.015
Spoofing,Time_To_Live <= 75.17,1.3962009425605795,0.4483,0.6768,0.662
Spoofing,psh_flag_number <= 0.04,1.502799725199683,0.4413,0.6204,0.711
Spoofing,Std > 66.57,0.014670225691696813,0.6874,0.4376,1.571
Spoofing,HTTPS <= 0.82,1.454116025136273,0.5888,0.8575,0.687
Spoofing,Std > 116.02,1.5098019115374182,0.6133,0.352,1.742
Spoofing,Header_Length > 1.35,1.6150702166424475,1.0,0.8793,1.137
Spoofing,HTTPS > 0.1,1.6833855508223474,0.6888,0.3703,1.86
Spoofing,IGMP <= 0.15,1.787025883401595,0.9993,1.0,0.999
Spoofing,Tot size <= 963.32,1.3706626124853096,0.7671,0.9167,0.837
Spoofing,HTTP <= 0.5,1.9322202496795347,0.9259,0.9421,0.983
Spoofing,TCP > 0.2,2.008118350368014,0.7671,0.7183,1.068
Spoofing,syn_count > 0.5,2.511754987076057,0.0713,0.3014,0.237
Spoofing,Time_To_Live <= 164.35,2.618518847782096,0.8783,0.9377,0.937
Spoofing,rst_count <= 12.0,1.483393616441195,1.0,0.9455,1.058
Spoofing,Tot sum <= 14979.0,1.5390926951883563,0.9161,0.7363,1.244
Spoofing,Tot sum <= 55375.0,1.8676951162842368,1.0,0.8145,1.228
Spoofing,AVG <= 347.3,1.9244532201733466,0.4755,0.6388,0.744
Spoofing,rst_count <= 1.0,1.550916814665588,0.993,0.9011,1.102
Spoofing,Tot sum > 1261.5,0.012396876580530593,0.7126,0.7949,0.897
Spoofing,Variance <= 16303875.0,0.010393352743112885,1.0,0.9989,1.001
Spoofing,Tot size > 104.05,0.007941475922495408,0.7762,0.5241,1.481
Spoofing,LLC > 0.98,1.3835571495580465,0.8706,0.8608,1.011
Spoofing,Max <= 102.0,1.3856313141139174,0.1126,0.3489,0.323
Spoofing,TCP > 0.93,1.3864756765662833,0.4497,0.4064,1.106
Spoofing,Rate <= 64827.01,0.018549484589045047,0.9189,0.978,0.94
Spoofing,Tot sum <= 16834.0,1.5829287199269153,0.9699,0.7572,1.281
Spoofing,Tot size <= 310.6,1.9627490753346564,0.4573,0.634,0.721
Spoofing,Tot size <= 393.85,2.007856966158714,0.5077,0.6478,0.784
Spoofing,Rate <= 75275.94,2.408386848627838,0.9203,0.981,0.938
Spoofing,Tot sum > 3740.0,2.6184109698611087,0.5014,0.6998,0.717
Spoofing,rst_flag_number <= 0.23,1.7451075311144837,0.9965,0.9329,1.068
Spoofing,Rate > 51.67,1.7422184857569614,0.9133,0.9333,0.979
Spoofing,Std <= 1047.22,1.7382031048182052,0.9531,0.9469,1.007
Spoofing,Variance <= 19.72,0.01609033146243215,0.1601,0.391,0.41
Spoofing,Variance <= 181.71,0.014073704398336294,0.1762,0.4122,0.428
Spoofing,Tot size <= 75.15,0.012056634684131432,0.0888,0.3908,0.227
Spoofing,Std <= 51.83,0.010039989992376366,0.2643,0.5094,0.519
Spoofing,ece_flag_number <= 0.01,0.008032193079791321,0.9944,0.9988,0.996
Spoofing,Variance <= 357108.56,1.5114340070367807,0.7091,0.8339,0.85
