classe,cobertura,seletividade,lift
Benign,0.6669691470054446,0.21381705905055962,3.119344873449652
Benign,0.8287961282516636,0.922327286761868,0.8985922244168052
Benign,0.0,0.11790814357390969,0.0
Benign,0.7773744706594071,0.23784253184098803,3.2684417906345216
Benign,0.9815486993345433,0.9737553068313393,1.0080034403392
Benign,0.9963702359346642,0.6015052103434967,1.6564615215314182
Benign,0.9909255898366606,0.9952720957159398,0.9956328466376297
Benign,0.8992740471869328,0.990930142802007,0.9075049878330449
Benign,1.0,0.998745658047086,1.001255917302676
Benign,0.7701149425287356,0.15852952527981473,4.85786443357749
Benign,0.33635813672111314,0.7873407950598225,0.42720780992372753
Benign,0.7268602540834845,0.8841181011192589,0.8221302710161774
Benign,0.9398064125831821,0.47115013508297954,1.9947068728265613
Benign,0.9370840895341803,0.36530297182555,2.5652243803307564
Benign,0.6001209921355112,0.9136433809340023,0.6568438021430392
Benign,0.4882032667876588,0.740930142802007,0.6589059326718708
Benign,0.9301270417422868,0.9216518718641451,1.009195630299106
Benign,0.7196007259528131,0.9612118873022,0.7486390206559882
Benign,0.9428312159709619,0.6290042454650714,1.4989266332755098
Benign,0.003629764065335753,0.3988807410266306,0.009099872949477443
Benign,0.9373865698729582,0.8248745658047086,1.1363989250395763
Benign,1.0,0.8814164415283674,1.1345374931581829
Benign,0.9966727162734422,0.9673871092242378,1.0302728936223773
Benign,0.9549304295220811,0.9487649556155925,1.0064984207837737
Benign,0.8620689655172413,0.7143959861057507,1.2067102591329941
Benign,0.926194797338173,0.539463527595523,1.7168812161711366
Benign,0.940713853599516,0.9962369741412582,0.9442671553225553
Benign,0.38263762855414396,0.20233500578927055,1.8911093859490453
Benign,0.9972776769509982,0.9989386337321497,0.9983372784622955
Benign,0.5819721718088324,0.8656889231956774,0.6722647780457801
Benign,0.003629764065335753,0.3988807410266306,0.009099872949477443
Benign,0.24803387779794314,0.5855847163257429,0.4235661739162766
Benign,0.720810647307925,0.9543612504824392,0.7552807146597245
Benign,0.5139140955837871,0.3794866846777306,1.3542348554869996
Benign,1.0,0.999421072944809,1.0005792624058698
Benign,0.45825771324863884,0.3522771130837514,1.300844409780579
Benign,0.9963702359346642,0.6015052103434967,1.6564615215314182
Benign,0.0027223230490018148,0.22037823234272483,0.012352958003439057
Benign,0.9506957047791893,0.28049015824006174,3.389408422542662
Benign,0.5931639443436176,0.6764762639907371,0.8768436912248257
Benign,1.0,0.8294094944037051,1.2056770590972545
Benign,0.837870538415003,0.9814743342338865,0.8536856331235835
Benign,0.7528735632183908,0.8539174064067927,0.8816702383271642
Benign,0.4482758620689655,0.8303743728290235,0.5398479008230025
Benign,0.9963702359346642,0.9012929370899266,1.1054898967162896
Benign,0.7422867513611615,0.9529139328444616,0.7789651570582299
Benign,0.9794313369630974,0.9385372443072173,1.0435721575290986
Benign,0.08953418027828192,0.5900231570822076,0.15174689197123692
Benign,0.05716878402903811,0.3705133153222694,0.15429616606170599
Benign,0.08106473079249849,0.48224623697414126,0.16809821327199967
Benign,0.837870538415003,0.9814743342338865,0.8536856331235835
Benign,0.3396854204476709,0.5317445001929757,0.6388132276392054
Benign,0.617362371445856,0.5706291007333076,1.08189780481313
Benign,0.38263762855414396,0.7303164801235045,0.5239339915887367
Benign,0.28039927404718695,0.03869162485526824,7.247027621508841
Benign,0.7698124621899577,0.2506754148977229,3.070953178651548
Benign,0.9972776769509982,0.9989386337321497,0.9983372784622955
Benign,0.956140350877193,0.9979737553068313,0.9580816587538652
Benign,0.41954022988505746,0.3269008104978773,1.2833869369919526
Benign,0.16515426497277677,0.7486491702045542,0.22060301613324634
Benign,0.24289171203871748,0.7617715167888846,0.31885113408097127
Benign,0.41954022988505746,0.3269008104978773,1.2833869369919526
Benign,0.9062310949788264,0.8571015052103435,1.0573206201013798
Benign,0.06291591046581972,0.6047857969895793,0.10403007276128838
Benign,0.05716878402903811,0.3709957545349286,0.15409552085226294
Benign,0.48003629764065336,0.23600926283288307,2.0339722766752786
Benign,0.45795523290986084,0.35179467387109226,1.3017685227311568
Benign,1.0,0.8223658818988807,1.2160037545465212
Benign,1.0,0.9276341181011193,1.0780112336176408
Benign,0.6460980036297641,0.8649170204554226,0.7470057685875586
Benign,0.0765275257108288,0.762736395214203,0.10033286229816947
Benign,0.6430732002419842,0.8616364338093401,0.7463393781979758
Benign,0.529340592861464,0.6384600540331918,0.8290896032063189
Benign,1.0,0.3447510613662679,2.9006437167646233
Benign,0.9373865698729582,0.8253570050173679,1.1357346750249402
Benign,0.9600725952813067,0.9887109224237746,0.9710346811257405
Benign,0.9972776769509982,0.7796217676572752,1.2791814163267508
Benign,0.24803387779794314,0.5855847163257429,0.4235661739162766
Benign,0.9134906231094979,0.8577769201080664,1.064951273105381
Benign,1.0,0.34455808568120416,2.9022682721926634
Benign,0.01119177253478524,0.5840409108452335,0.01916265166867904
Benign,0.530550514216576,0.6395214203010421,0.8296055415420327
Benign,1.0,0.8836356619065998,1.1316881415156148
Benign,0.9987900786448881,0.8802585874179853,1.134655308021004
Benign,0.616454930429522,0.7965071401003474,0.7739477769802018
Benign,0.7528735632183908,0.8539174064067927,0.8816702383271642
Benign,0.9827586206896551,0.6122153608645311,1.605249857340833
Benign,0.9969751966122202,0.6024700887688151,1.6548127702897262
Benign,0.06261343012704174,0.1746429949826322,0.3585224253241218
