Node,Degree,In degree nodes,Out degree nodes,In Weight,Out Weight,Diff,To Inliers,To Outliers,In Out,To Inliers Weight,To Outliers Weight,Inlier-Outlier Propagation Score,Label
1043469376771332113858820724324827897913309990452,143,71,72,321174.1454767726,332682.35513447435,-11508.209657701722,28623.222493887533,5472.25,23150.972493887533,0.08912056869147199,0.01703826437173709,0.07208230431973489,LLC >
1043754360836331848364792327262011021650379248223,137,69,68,38766.46210268949,42184.567237163814,-3418.1051344743246,4376.38630806846,3820.25,556.1363080684596,0.11289104217134223,0.09854523195540621,0.01434581021593602,DNS >
1070253533701240439447821754319583826073025846503,142,71,71,137243.7371638142,154097.21699266505,-16853.47982885086,19519.046454767726,14455.0,5064.046454767726,0.14222176441807163,0.10532356738979284,0.03689819702827879,Max >
1077028023530208599426324724984012030801332581683,144,72,72,201991.3325183374,240104.21454767726,-38112.882029339846,30802.327628361858,13009.5,17792.827628361858,0.15249331367010774,0.06440622890994076,0.08808708476016698,Time_To_Live >
1085488307210616684491611463585545838953333018237,130,65,65,61626.87041564792,70526.31356968216,-8899.443154034234,6893.76772616137,3097.5,3796.26772616137,0.11186301818777651,0.05026216614779617,0.06160085203998034,Type >
1091995366823138898995898948102109473193356840202,146,73,73,372003.9437652812,394984.7683374083,-22980.824572127138,32223.088019559902,12906.25,19316.838019559902,0.0866202860469977,0.034693852622549884,0.05192643342444782,DNS <=
109928824856976412487775174607761519739702474552,133,66,67,146884.10635696823,152596.4315403423,-5712.32518337408,15182.041564792176,1858.5,13323.541564792176,0.10336068306734084,0.01265283253644435,0.09070785053089649,Number <=
1118614325010621431186771152252517336813918651911,144,72,72,185634.66442542788,196794.5,-11159.83557457212,19796.735941320294,25089.75,-5293.014058679706,0.10664353019730821,0.13515659953736125,-0.028513069340053043,sum >
1142857970576506471478393393000113013376204379484,138,69,69,252458.11491442545,254543.05806845968,-2084.943154034234,29619.875305623475,2787.75,26832.125305623475,0.11732589905324924,0.011042425793858718,0.10628347325939051,rst_flag_number <=
119501872384761655346741968946796756296882526119,138,69,69,168030.66564792176,184848.29828850855,-16817.632640586788,26572.359413202936,3510.5,23061.859413202936,0.1581399401754473,0.020892019837352935,0.13724792033809435,ARP <=
1232849963170894971818913290506039176322619533319,138,69,69,69622.56051344743,73444.83007334963,-3822.269559902197,15121.454767726162,2787.75,12333.704767726162,0.21719187941680898,0.04004090024039769,0.1771509791764113,psh_flag_number >
1233133706649643691022119102239698495899057226060,138,69,69,181814.1619804401,192844.24083129584,-11030.07885085573,22188.904645476774,20959.75,1229.154645476774,0.12204167378261709,0.11528117376387262,0.006760500018744467,Time_To_Live <=
1236189254858718471128603624930063881324958313531,138,69,69,263271.3435207824,281284.0507334963,-18012.707212713896,58221.8924205379,1961.75,56260.1424205379,0.2211478531689945,0.007451437645150092,0.21369641552384439,HTTPS >
1239329028096551917906154637654656383307088642249,114,58,56,65150.75,73316.08312958435,-8165.333129584353,5860.76283618582,2994.25,2866.5128361858197,0.08995695116611581,0.04595879556259905,0.04399815560351676,cwr_flag_number <=
1244200006508864238414081275966745179431479901918,125,63,62,37366.654645476774,40523.73166259169,-3157.0770171149125,2927.352078239609,8053.5,-5126.147921760391,0.07834129402306461,0.2155263851262338,-0.13718509110316918,ARP >
1251276136943778783713685275011300537715092657394,126,63,63,61998.46943765281,63400.801344743275,-1402.3319070904618,2126.596577017115,15590.75,-13464.153422982885,0.03430079155672824,0.2514699175868921,-0.21716912603016383,fin_flag_number >
1329847435934461746074927120436757452470095790255,127,64,63,34543.81479217604,37915.974938875304,-3372.160146699265,4752.024449877751,1961.75,2790.274449877751,0.13756513223762581,0.05679019563422174,0.08077493660340407,Min >
1338222599102815322204523610829624561969283441716,138,68,70,249291.69743276283,257896.53728606357,-8604.839853300742,23374.38630806846,6504.75,16869.63630806846,0.09376319608226356,0.026092926748009386,0.06767026933425419,SSH <=
1343908975744673306589744221553424462279673294717,141,71,70,42417.32151589242,44722.64914425428,-2305.3276283618616,5327.59902200489,2994.25,2333.34902200489,0.125599609584231,0.07059026579219882,0.05500934379203218,TCP <=
1345309773886921328764805451107636357621530213384,143,72,71,813197.0,426112.75,387084.25,0.0,0.0,0.0,0.0,0.0,0.0,Class -1
1375509225989204300559045429796274689340158771149,140,70,70,375838.83557457215,384302.8111246944,-8463.975550122268,48861.232273838636,2271.5,46589.732273838636,0.13000581006787368,0.0060438139569248955,0.12396199611094878,rst_count <=
1379366653555122327876205020011632492492609315477,136,68,68,125401.29034229829,150768.72982885086,-25367.43948655257,15228.491442542789,7021.0,8207.491442542789,0.12143807612325792,0.055988259617068645,0.06544981650618928,Type <=
1390694102288752714886335797250086933489416434790,139,70,69,92362.80501222494,96043.95782396088,-3681.152811735941,8506.38630806846,11977.0,-3470.6136919315395,0.09209753111052196,0.12967341126565776,-0.0375758801551358,size >
1418025003262016765970487572214907425163069882682,138,69,69,252360.1662591687,291462.1277506113,-39101.96149144258,30952.784841075794,9086.0,21866.784841075794,0.12265321147905696,0.03600409737671858,0.08664911410233839,IPv >
1418162538066850581097605911983264533342366443794,140,70,70,163730.51772616137,165413.56845965772,-1683.0507334963477,18034.669926650367,10118.5,7916.169926650367,0.11014849386119502,0.06179971907816935,0.04834877478302567,Header_Length <=
1429650867505148313720594668477948880050562903683,135,67,68,54885.32701711491,55595.959657701715,-710.6326405868022,2600.18337408313,7330.75,-4730.56662591687,0.047374836142860435,0.1335648414322839,-0.08619000528942346,syn_flag_number >
