Node,Degree,In degree nodes,Out degree nodes,In Weight,Out Weight,Diff,To Inliers,To Outliers,In Out,To Inliers Weight,To Outliers Weight,Inlier-Outlier Propagation Score,Label
1043469376771332113858820724324827897913309990452,115,58,57,395310.0491129427,442808.3672675058,-47498.31815456308,40599.32088700473,19284.43548387097,21314.88540313376,0.10270247614020366,0.048783064147102616,0.05391941199310104,LLC >
1043754360836331848364792327262011021650379248223,106,53,53,21174.51280223855,21976.21370113032,-801.7008988917696,3259.6225338333606,3996.7741935483873,-737.1516597150267,0.15394085163974852,0.18875400963774958,-0.034813157998001054,DNS >
1077028023530208599426324724984012030801332581683,110,55,55,138782.33051761228,145704.44625321502,-6922.11573560274,25777.987934126857,799.3548387096774,24978.63309541718,0.1857440197032538,0.005759773853979449,0.17998424584927436,Time_To_Live >
1085488307210616684491611463585545838953333018237,104,52,52,111806.67886052713,121911.76287193027,-10105.084011403145,16204.17250937551,3896.8548387096776,12307.317670665832,0.14493027316900586,0.034853506771011386,0.11007676639799448,Type >
1091995366823138898995898948102109473193356840202,116,58,58,415400.32368519326,432611.3144385477,-17210.990753354446,38507.384640469594,22381.93548387097,16125.449156598625,0.09269945747479005,0.05388039971974813,0.03881905775504192,DNS <=
109928824856976412487775174607761519739702474552,104,52,52,102080.9071627315,110438.46959599838,-8357.562433266881,11850.601663133866,99.91935483870968,11750.682308295156,0.11609028556380598,0.0009788251066325654,0.11511146045717341,Number <=
1118614325010621431186771152252517336813918651911,111,56,55,193627.10804321413,203548.43363243795,-9921.325589223823,15722.350399478233,25379.516129032258,-9657.165729554024,0.08119911802829428,0.13107418886495997,-0.04987507083666569,sum >
1142857970576506471478393393000113013376204379484,110,55,55,334739.4021633364,342253.9958474251,-7514.593684088672,27155.776944399153,7793.709677419355,19362.067266979797,0.08112512829053947,0.023282916881163598,0.05784221140937587,rst_flag_number <=
1184472685782376059334758133512718430805424685192,102,51,51,6157.98438379365,6633.8272986435095,-475.8429148498599,1465.6685145931845,99.91935483870968,1365.7491597544747,0.2380110801272045,0.016225983797827363,0.22178509632937715,SSH >
1232849963170894971818913290506039176322619533319,114,56,58,145656.05876195937,149586.8337208018,-3930.774958842434,20866.836784607858,12889.59677419355,7977.240010414309,0.14326102849391115,0.08849337874271725,0.0547676497511939,psh_flag_number >
1233133706649643691022119102239698495899057226060,116,58,58,395052.50383961963,417958.8163583575,-22906.31251873786,46182.19468449373,33073.3064516129,13108.888232880825,0.11690140990282755,0.08371876175992989,0.03318264814289766,Time_To_Live <=
1236189254858718471128603624930063881324958313531,116,58,58,198422.37359498852,212507.9397153422,-14085.566120353673,36302.31615848687,799.3548387096774,35502.9613197772,0.18295475203106706,0.004028551943145722,0.17892620008792134,HTTPS >
1251276136943778783713685275011300537715092657394,111,55,56,78044.77116130084,85142.3200638534,-7097.54890255256,3475.7859122778414,18784.83870967742,-15309.05279739958,0.044535794782384334,0.24069311025146603,-0.1961573154690817,fin_flag_number >
1329847435934461746074927120436757452470095790255,103,51,52,30559.274877316264,31779.486845358006,-1220.2119680417418,6377.829773357248,399.6774193548387,5978.152354002409,0.20870357032232545,0.013078759916895602,0.19562481040542984,Min >
1338222599102815322204523610829624561969283441716,121,60,61,405859.6300684294,457010.87797110295,-51151.24790267355,48975.14674710582,17186.129032258064,31789.017714847756,0.1206701606140242,0.042345007384352124,0.07832515322967208,SSH <=
1345309773886921328764805451107636357621530213384,111,57,54,981907.5,476515.4032258065,505392.0967741935,0.0,0.0,0.0,0.0,0.0,0.0,Class -1
1375509225989204300559045429796274689340158771149,110,55,55,272789.4347475056,278197.755150613,-5408.320403107442,24484.037991195175,6694.596774193548,17789.441217001626,0.08975434849175022,0.02454126121266419,0.06521308727908603,rst_count <=
1379366653555122327876205020011632492492609315477,112,55,57,231208.53205556402,254545.24886520833,-23336.716809644306,19404.198597749877,11590.645161290322,7813.553436459555,0.08392509750931969,0.050130698284546256,0.03379439922477343,Type <=
1418162538066850581097605911983264533342366443794,114,57,57,284172.3884143423,302353.40988465364,-18181.02147031133,39346.785423120826,31974.1935483871,7372.591874733727,0.1384609730828267,0.11251689063388731,0.025944082448939393,Header_Length <=
1429650867505148313720594668477948880050562903683,115,58,57,98872.65357163521,113693.61180656734,-14820.958234932128,4746.503342572966,24480.24193548387,-19733.738592910904,0.04800622994440045,0.24759365761077148,-0.19958742766637103,syn_flag_number >
1454952188391427871478129207189215566009723810659,108,54,54,64399.64525596588,67030.6051214214,-2630.9598654555157,10671.8041741399,2897.6612903225805,7774.142883817319,0.16571215775682058,0.04499498838550117,0.1207171693713194,Std >
1455733501014453866297060548284701359849809242142,116,58,58,343020.1474177243,370066.3275090336,-27046.180091309303,38729.60867438448,9192.58064516129,29537.02802922319,0.11290767893939535,0.026798952523236823,0.08610872641615852,DHCP <=
160227321490815016489601533331665083666172936667,113,56,57,322811.804108393,350853.64236573165,-28041.838257338677,25090.103538235773,11091.048387096775,13999.055151138999,0.07772362478359397,0.03435762957222174,0.04336599521137223,IGMP <=
171982518954274878349485416184092168691833932185,120,60,60,1403564.9779879341,1022891.1674547531,380673.81053318107,0.0,0.0,0.0,0.0,0.0,0.0,Class 1
207766774224049171901964708681563529125144087827,108,54,54,177350.22396027835,205537.51794890675,-28187.2939886284,5071.758519484755,30575.322580645163,-25503.564061160407,0.02859741818324792,0.17240081178297922,-0.1438033935997313,HTTP >
