Node,Label,Inlier-Outlier Propagation Score,Local reaching centrality,Betweenness centrality,Degree,In degree nodes,Out degree nodes,In Weight,Out Weight,Diff,To Inliers,To Outliers,In Out,To Inliers Weight,To Outliers Weight
579184915384053252333364217236378176158944003116,cwr_flag_number >,-1.889050681551592,4.195339838756005,0.07345345345345346,19,8,11,402.78920751303104,1164.851464578194,-762.0622570651631,138.38496657427035,899.2741935483871,-760.8892269741167,0.343566719249282,2.2326174008008737
940331364486966071141541838460909450599289486914,rst_count >,-0.9027220447161698,11.650887852254296,0.15477477477477478,90,44,46,67904.31703423573,86043.25605003077,-18138.93901579504,351.51801728354803,61650.24193548387,-61298.723918200325,0.0051766667074542,0.907898711423624
795584812918386367255521286735341258439959854242,syn_count >,-0.6561931689212086,13.924117685072758,0.05348348348348348,121,61,60,126683.74703481433,185254.9967784013,-58571.24974358703,2302.0389695092126,85431.04838709677,-83129.00941758756,0.0181715415228173,0.6743647104440259
559797210707093786647851972932919518973015855277,fin_count >,-0.5445715926842895,10.22594287193469,0.04951951951951953,126,62,64,87020.45528421075,101873.3297128701,-14852.874428659345,2670.728843958911,50059.59677419355,-47388.86793023464,0.0306908167193133,0.5752624094036027
565103970815292376991711972572924808853013487374,IGMP >,-0.4946049537797532,4.10226342202775,0.32198198198198197,38,17,21,505.82035050993306,627.9621087401314,-122.14175823019832,149.4961682700147,399.6774193548387,-250.18125108482403,0.2955519051760235,0.7901568589557767
791432257472445298809701838101022411569407290467,rst_flag_number >,-0.4034287590376064,5.366324492529066,0.1826936936936937,84,40,44,25109.344490145853,26957.38823025094,-1848.043740105088,461.6199249959237,10591.451612903224,-10129.8316879073,0.0183843877396754,0.4218131467772818
1251276136943778783713685275011300537715092657394,fin_flag_number >,-0.2814214773341479,5.819737437382398,0.03541741741741742,126,63,63,44369.732857150375,46129.04990453549,-1759.3170473851133,1602.0332626773195,14088.629032258064,-12486.595769580745,0.0361064437289967,0.3175279210631447
520582048177068818674784514618258893555315007951,LLC <=,-0.2025468139588249,5.427757554658073,0.008828828828828829,126,63,63,34860.059369460825,39621.32334067945,-4761.263971218628,3930.3350725582914,10991.129032258064,-7060.793959699773,0.1127460808630023,0.3152928948218272
207766774224049171901964708681563529125144087827,HTTP >,-0.1900171712173604,6.322152347265751,0.0,130,65,65,89623.83265044208,111730.5459492013,-22106.71329875922,3253.5618783629548,20283.629032258064,-17030.06715389511,0.0363024184767097,0.2263195896940702
426624906449189252299067265451872698344494536313,Number >,-0.1849647456578894,6.261529393781883,0.05164864864864865,79,40,39,88724.31407562473,101780.8232565234,-13056.509180898676,3872.758845589434,20283.629032258064,-16410.87018666863,0.0436493523329857,0.2286140979908752
1429650867505148313720594668477948880050562903683,syn_flag_number >,-0.1302231155323058,8.050680487051917,0.003483483483483484,141,72,69,99141.13083372344,103920.08800881536,-4778.957175091913,2876.791129952715,15787.258064516129,-12910.466934563414,0.0290171304862114,0.1592402460185172
1244200006508864238414081275966745179431479901918,ARP >,-0.1207873891439284,5.059576411527499,0.00018018018018018018,128,64,64,40660.008902131776,45231.53525612367,-4571.526353991889,3681.848198271645,8593.064516129032,-4911.2163178573865,0.0905520755574307,0.2113394647013592
681078890404174620223416780986783609679186091789,IPv <=,-0.110702848152216,5.043019159366708,0.04738738738738739,133,66,67,40881.33687139378,45980.791934694906,-5099.455063301124,3667.706668840698,8193.387096774193,-4525.680427933496,0.0897159180576389,0.2004187662098549
